Date,Open,High,Low,Close,Adj Close,Volume
2015-05-20,0.12,0.12,0.12,0.12,0.12,43000
2015-05-21,77.65,78.47,77.5,78.44,78.44,18893
2015-05-22,0.12,0.12,0.12,0.12,0.12,79000
2015-05-26,77.0,78.7,0.12,0.12,0.12,65784
2015-05-27,74.2,77.35,74.2,76.1,76.1,19088
2015-05-28,0.16,0.16,0.16,0.16,0.16,0
2015-05-29,0.16,0.16,0.16,0.16,0.16,3859
2015-06-01,0.1,0.11,0.1,0.11,0.11,11000
2015-06-02,0.16,0.16,0.16,0.16,0.16,0
2015-06-03,77.5,78.2,76.51,76.73,76.73,39912
2015-06-04,0.16,0.16,0.16,0.16,0.16,0
2015-06-05,76.27,79.22,76.0,78.8,78.8,40112
2015-06-08,79.39,81.96,77.8,80.9,80.9,20106
2015-06-09,0.09,0.09,0.09,0.09,0.09,80000
2015-06-10,0.08,0.08,0.08,0.08,0.08,187000
2015-06-11,0.08,0.08,0.07,0.08,0.08,115000
2015-06-12,0.07,0.08,0.06,0.08,0.08,217000
2015-06-15,0.08,0.1,0.07,0.08,0.08,11500
2015-06-16,78.31,79.65,78.01,79.0,79.0,13781
2015-06-17,0.07,0.08,0.06,0.06,0.06,155000
2015-06-18,0.06,0.06,0.06,0.06,0.06,544000
2015-06-19,0.16,0.16,0.16,0.16,0.16,0
2015-06-22,0.06,0.06,0.06,0.06,0.06,90000
2015-06-23,0.16,0.16,0.16,0.16,0.16,500
2015-06-24,0.16,0.16,0.16,0.16,0.16,90000
2015-06-25,82.65,82.94,82.0,82.27,82.27,43594
2015-06-26,0.06,0.07,0.06,0.06,0.06,179000
2015-06-29,0.07,0.07,0.06,0.06,0.06,313000
2015-06-30,80.45,82.68,79.69,82.61,82.61,85884
2015-07-01,82.55,82.55,80.75,80.75,80.75,57600
2015-07-02,22.0,22.89,21.8,22.6,22.6,902940
2015-07-06,0.12,0.12,0.06,0.06,0.06,34000
2015-07-07,0.12,0.12,0.12,0.12,0.12,0
2015-07-08,0.06,0.06,0.06,0.06,0.06,0
2015-07-09,0.08,0.09,0.08,0.09,0.09,142000
2015-07-10,78.51,79.29,77.82,78.66,78.66,27497
2015-07-13,0.09,0.09,0.07,0.07,0.07,33000
2015-07-14,22.65,22.78,22.55,22.78,22.78,1016658
2015-07-15,82.7,83.9,82.12,83.78,83.78,16513
2015-07-16,0.07,0.09,0.07,0.09,0.09,30000
2015-07-17,0.12,0.12,0.12,0.12,0.12,0
2015-07-20,0.08,0.08,0.07,0.08,0.08,50000
2015-07-21,0.12,0.12,0.12,0.12,0.12,0
2015-07-22,22.99,22.99,22.55,22.55,22.55,554229
2015-07-23,0.12,0.12,0.12,0.12,0.12,0
2015-07-24,0.12,0.12,0.12,0.12,0.12,9170
2015-07-27,0.12,0.12,0.12,0.12,0.12,0
2015-07-28,0.12,0.12,0.12,0.12,0.12,0
2015-07-29,0.08,0.08,0.07,0.07,0.07,10000
2015-07-30,0.07,0.08,0.07,0.08,0.08,55000
2015-07-31,82.19,84.9,81.31,84.9,84.9,57144
2015-08-03,21.9,22.16,21.81,22.0,22.0,1186566
2015-08-04,22.05,22.89,21.91,22.05,22.05,599205
2015-08-05,22.04,22.2,22.01,22.05,22.05,1204975
2015-08-06,22.0,22.79,21.83,22.74,22.74,1138068
2015-08-07,0.12,0.12,0.12,0.12,0.12,0
2015-08-10,22.94,22.94,22.94,22.94,22.94,0
2015-08-11,22.89,23.0,22.85,22.95,22.95,692555
2015-08-12,95.0,95.8,94.01,95.8,95.8,26478
2015-08-13,0.07,0.07,0.07,0.07,0.07,57000
2015-08-14,90.0,93.85,89.77,93.85,93.85,26986
2015-08-17,22.28,23.1,22.28,23.0,23.0,753944
2015-08-18,0.07,0.07,0.06,0.07,0.07,57000
2015-08-19,22.8,22.93,22.44,22.58,22.58,604812
2015-08-20,0.06,0.06,0.06,0.06,0.06,11000
2015-08-21,0.06,0.06,0.05,0.05,0.05,105000
2015-08-24,0.05,0.07,0.05,0.06,0.06,15000
2015-08-25,0.06,0.06,0.05,0.06,0.06,7000
2015-08-26,75.98,77.99,74.8,77.5,77.5,134444
2015-08-27,80.0,84.47,79.55,84.0,84.0,44174
2015-08-28,0.07,0.07,0.07,0.07,0.07,53000
2015-08-31,88.4,90.0,86.6,90.0,90.0,84891
2015-09-01,0.08,0.08,0.08,0.08,0.08,0
2015-09-02,0.12,0.12,0.12,0.12,0.12,0
2015-09-03,88.49,89.99,87.49,89.99,89.99,53039
2015-09-04,0.12,0.12,0.12,0.12,0.12,0
2015-09-08,0.06,0.06,0.05,0.06,0.06,23000
2015-09-09,0.1,0.1,0.1,0.1,0.1,2049
2015-09-10,0.07,0.08,0.07,0.08,0.08,3819
2015-09-11,90.5,90.5,88.66,89.5,89.5,20498
2015-09-14,0.08,0.08,0.08,0.08,0.08,2371
2015-09-15,91.14,94.0,90.72,93.81,93.81,82210
2015-09-16,0.08,0.08,0.08,0.08,0.08,750
2015-09-17,0.06,0.06,0.06,0.06,0.06,6000
2015-09-18,89.1,90.0,87.69,90.0,90.0,101416
2015-09-21,0.06,0.06,0.06,0.06,0.06,63000
2015-09-22,0.08,0.08,0.08,0.08,0.08,0
2015-09-23,90.94,90.94,88.1,88.1,88.1,25260
2015-09-24,89.2,89.25,84.14,86.0,86.0,25488
2015-09-25,0.06,0.06,0.04,0.04,0.04,77000
2015-09-28,0.08,0.08,0.08,0.08,0.08,0
2015-09-29,0.08,0.08,0.08,0.08,0.08,7571
2015-09-30,0.05,0.05,0.05,0.05,0.05,33000
2015-10-01,89.0,93.0,88.88,91.97,91.97,48529
2015-10-02,92.5,92.88,90.1,91.1,91.1,15972
2015-10-05,90.51,91.67,89.73,91.67,91.67,24508
2015-10-06,0.06,0.06,0.05,0.05,0.05,57000
2015-10-07,0.08,0.08,0.08,0.08,0.08,0
2015-10-08,0.08,0.08,0.08,0.08,0.08,0
2015-10-09,89.6,92.0,89.0,90.49,90.49,13247
2015-10-12,0.08,0.08,0.08,0.08,0.08,13250
2015-10-13,0.05,0.05,0.04,0.05,0.05,16000
2015-10-14,0.08,0.08,0.08,0.08,0.08,0
2015-10-15,90.35,91.5,90.35,91.42,91.42,12962
2015-10-16,91.49,91.5,90.35,90.57,90.57,18363
2015-10-19,0.06,0.06,0.05,0.06,0.06,53000
2015-10-20,93.13,95.88,92.21,95.88,95.88,48059
2015-10-21,0.06,0.06,0.06,0.06,0.06,36000
2015-10-22,0.06,0.1,0.06,0.08,0.08,81693
2015-10-23,91.5,94.49,91.5,94.0,94.0,20553
2015-10-26,94.0,94.49,93.15,94.49,94.49,28084
2015-10-27,0.07,0.07,0.06,0.07,0.07,90000
2015-10-28,0.07,0.07,0.07,0.07,0.07,0
2015-10-29,94.44,94.44,89.34,89.36,89.36,35539
2015-10-30,90.24,92.3,90.24,92.09,92.09,45835
2015-11-02,92.09,92.7,90.6,90.75,90.75,9822
2015-11-03,0.07,0.07,0.07,0.07,0.07,0
2015-11-04,0.07,0.07,0.07,0.07,0.07,0
2015-11-05,21.55,21.66,21.23,21.52,21.52,433846
2015-11-06,0.08,0.09,0.08,0.08,0.08,404000
2015-11-09,95.0,100.85,95.0,100.15,100.15,62220
2015-11-10,0.09,0.09,0.08,0.08,0.08,170000
2015-11-11,103.65,103.65,103.65,103.65,103.65,0
2015-11-12,0.07,0.07,0.07,0.07,0.07,0
2015-11-13,20.91,21.05,20.62,20.62,20.62,1610648
2015-11-16,20.6,20.6,20.37,20.5,20.5,1421305
2015-11-17,20.44,20.69,20.25,20.69,20.69,323972
2015-11-18,0.07,0.08,0.06,0.08,0.08,219000
2015-11-19,0.08,0.08,0.06,0.06,0.06,11000
2015-11-20,106.0,106.0,103.65,105.1,105.1,20223
2015-11-23,20.65,21.14,20.52,21.0,21.0,466628
2015-11-24,104.9,104.9,98.39,101.0,101.0,39901
2015-11-25,20.56,20.89,20.56,20.85,20.85,505748
2015-11-27,21.14,21.25,20.31,20.9,20.9,1190191
2015-11-30,20.8,20.8,20.14,20.28,20.28,1276151
2015-12-01,20.3,20.71,20.01,20.28,20.28,1209292
2015-12-02,20.3,20.35,20.14,20.18,20.18,843904
2015-12-03,20.1,20.14,19.72,19.97,19.97,1103926
2015-12-04,108.0,108.0,102.5,106.35,106.35,39808
2015-12-07,19.8,19.9,19.56,19.64,19.64,893816
2015-12-08,19.64,19.88,19.38,19.88,19.88,1171891
2015-12-09,19.7,20.24,19.43,19.9,19.9,858126
2015-12-10,19.56,19.56,17.78,18.0,18.0,2695529
2015-12-11,18.0,18.09,16.44,16.6,16.6,2164125
2015-12-14,0.08,0.08,0.08,0.08,0.08,0
2015-12-15,18.33,18.33,16.99,17.57,17.57,686529
2015-12-16,17.57,17.57,17.57,17.57,17.57,0
2015-12-17,0.06,0.06,0.06,0.06,0.06,2410000
2015-12-18,17.29,17.93,16.83,16.83,16.83,3073346
2015-12-21,17.03,17.52,17.03,17.31,17.31,542632
2015-12-22,17.31,17.75,17.2,17.7,17.7,497188
2015-12-23,17.5,18.1,17.5,18.1,18.1,726996
2015-12-24,0.06,0.06,0.06,0.06,0.06,22000
2015-12-28,0.08,99.89,0.08,99.01,99.01,28625
2015-12-29,0.06,0.06,0.06,0.06,0.06,294000
2015-12-30,99.5,100.5,98.81,99.5,99.5,80614
2015-12-31,0.06,0.06,0.06,0.06,0.06,105000
2016-01-04,99.5,99.5,0.08,0.08,0.08,0
2016-01-05,0.08,0.08,0.08,0.08,0.08,0
2016-01-06,0.06,0.06,0.06,0.06,0.06,16000
2016-01-07,0.06,0.06,0.06,0.06,0.06,195000
2016-01-08,0.08,0.08,0.08,0.08,0.08,0
2016-01-11,0.06,0.06,0.06,0.06,0.06,44000
2016-01-12,97.0,99.7,97.0,98.4,98.4,27440
2016-01-13,0.07,0.07,0.07,0.07,0.07,0
2016-01-14,102.0,102.4,99.5,101.2,101.2,72285
2016-01-15,0.07,0.07,0.07,0.07,0.07,0
2016-01-19,0.07,99.09,0.07,98.3,98.3,35025
2016-01-20,0.07,0.07,0.07,0.07,0.07,375
2016-01-21,0.06,0.06,0.06,0.06,0.06,13000
2016-01-22,0.07,0.07,0.07,0.07,0.07,0
2016-01-25,0.07,0.07,0.07,0.07,0.07,0
2016-01-26,99.0,99.0,97.0,97.53,97.53,23098
2016-01-27,0.07,0.07,0.07,0.07,0.07,0
2016-01-28,0.07,0.07,0.07,0.07,0.07,0
2016-01-29,0.06,0.06,0.06,0.06,0.06,109000
2016-02-01,0.07,0.07,0.07,0.07,0.07,0
2016-02-02,0.06,0.06,0.06,0.06,0.06,202000
2016-02-03,100.9,101.95,99.02,99.85,99.85,41510
2016-02-04,101.2,101.55,99.9,100.3,100.3,35321
2016-02-05,17.0,17.45,16.41,16.94,16.94,676160
2016-02-08,100.5,102.15,98.5,98.94,98.94,17933
2016-02-09,98.38,99.19,96.89,97.1,97.1,31228
2016-02-10,98.6,98.87,96.5,96.5,96.5,34607
2016-02-11,96.49,96.49,90.01,95.0,95.0,111662
2016-02-12,94.9,95.0,92.5,92.5,92.5,29930
2016-02-16,0.05,0.05,0.04,0.05,0.05,189000
2016-02-17,89.0,95.0,89.0,95.0,95.0,112236
2016-02-18,0.07,0.07,0.07,0.07,0.07,0
2016-02-19,0.06,0.06,0.05,0.06,0.06,110000
2016-02-22,94.5,95.99,93.0,93.55,93.55,27822
2016-02-23,93.55,95.36,93.0,95.1,95.1,31307
2016-02-24,0.05,0.06,0.05,0.05,0.05,145000
2016-02-25,95.01,99.55,94.99,97.5,97.5,64070
2016-02-26,97.88,97.88,96.16,96.16,96.16,32384
2016-02-29,0.06,0.06,0.06,0.06,0.06,0
2016-03-01,96.5,96.5,93.0,94.77,94.77,27628
2016-03-02,0.06,0.06,0.06,0.06,0.06,0
