Date,Open,High,Low,Close,Adj Close,Volume
2016-05-27,17826.8,17872.7,17824.7,17873.2,17873.2,45335761.0
2016-05-31,17891.5,17899.2,17724.0,17787.2,17787.2,62297227.0
2016-06-01,17754.6,17809.2,17664.8,17789.7,17789.7,57822492.0
2016-06-02,17789.1,17834.5,17703.6,17838.6,17838.6,52685050.0
2016-06-03,17799.8,17833.2,17689.7,17807.1,17807.1,59861275.0
2016-06-06,17825.7,17949.7,17822.8,17920.3,17920.3,50630360.0
2016-06-07,17936.2,18003.2,17936.2,17938.3,17938.3,52451829.0
2016-06-08,17931.9,18016.0,17931.9,18005.0,18005.0,48261248.0
2016-06-09,17970.0,18005.2,17915.9,17985.2,17985.2,51513377.0
2016-06-10,17938.8,17938.8,17812.3,17865.3,17865.3,64893434.0
2016-06-13,17830.5,17893.3,17731.3,17732.5,17732.5,74153378.0
2016-06-14,17710.8,17733.9,17595.8,17674.8,17674.8,70601485.0
2016-06-15,17703.7,17763.0,17629.0,17640.2,17640.2,66257726.0
2016-06-16,17602.2,17754.9,17471.3,17733.1,17733.1,72028198.0
2016-06-17,17733.4,17733.4,17602.8,17675.2,17675.2,141080083.0
2016-06-20,17736.9,17946.4,17736.9,17804.9,17804.9,62160409.0
2016-06-21,17827.3,17877.8,17799.8,17829.7,17829.7,54683892.0
2016-06-22,17832.7,17920.2,17770.4,17780.8,17780.8,58875383.0
2016-06-23,17844.1,18008.0,17844.1,18011.1,18011.1,59322785.0
2016-06-24,17946.6,17946.6,17356.3,17400.8,17400.8,131312813.0
2016-06-27,17355.2,17355.2,17063.1,17140.2,17140.2,100739854.0
2016-06-28,17190.5,17408.6,17190.5,17409.7,17409.7,82244394.0
2016-06-29,17456.0,17704.5,17456.0,17694.7,17694.7,74941570.0
2016-06-30,17712.8,17930.1,17711.8,17930.0,17930.0,76617175.0
2016-07-01,17924.2,18002.4,17916.9,17949.4,17949.4,60405721.0
2016-07-05,17904.4,17904.4,17785.3,17840.6,17840.6,67478388.0
2016-07-06,17807.5,17926.9,17713.4,17918.6,17918.6,70086715.0
2016-07-07,17924.2,17984.9,17816.7,17895.9,17895.9,60257444.0
2016-07-08,17971.2,18166.8,17971.2,18146.7,18146.7,64986761.0
2016-07-11,18161.5,18283.9,18161.5,18226.9,18226.9,58309451.0
2016-07-12,18259.1,18371.9,18259.1,18347.7,18347.7,67057652.0
2016-07-13,18356.8,18390.2,18315.8,18372.1,18372.1,56702227.0
2016-07-14,18414.3,18537.6,18414.3,18506.4,18506.4,67012984.0
2016-07-15,18508.9,18557.4,18471.6,18516.5,18516.5,84370489.0
2016-07-18,18521.6,18556.1,18489.8,18533.1,18533.1,48768185.0
2016-07-19,18503.1,18562.5,18495.1,18559.0,18559.0,54029978.0
2016-07-20,18582.7,18622.0,18555.7,18595.0,18595.0,75471603.0
2016-07-21,18590.0,18590.4,18469.7,18517.2,18517.2,66464840.0
2016-07-22,18524.2,18571.3,18491.6,18570.9,18570.9,61557727.0
2016-07-25,18554.5,18555.7,18452.6,18493.1,18493.1,60160025.0
2016-07-26,18497.4,18522.5,18387.2,18473.7,18473.7,70540659.0
2016-07-27,18473.3,18542.4,18430.9,18472.2,18472.2,85113119.0
2016-07-28,18461.0,18483.3,18368.8,18456.4,18456.4,57497414.0
2016-07-29,18442.5,18466.6,18371.1,18432.2,18432.2,59057211.0
2016-08-01,18434.5,18467.0,18355.8,18404.5,18404.5,60712150.0
2016-08-02,18401.2,18403.7,18247.8,18313.8,18313.8,69225314.0
2016-08-03,18313.1,18354.2,18283.2,18355.0,18355.0,53275083.0
2016-08-04,18351.4,18397.9,18325.2,18352.1,18352.1,45507119.0
2016-08-05,18402.8,18539.6,18402.8,18539.0,18539.0,60403750.0
2016-08-08,18540.7,18569.3,18502.0,18529.3,18529.3,47272708.0
2016-08-09,18538.1,18585.3,18507.8,18533.1,18533.1,42905038.0
2016-08-10,18541.5,18561.8,18468.8,18495.7,18495.7,48830697.0
2016-08-11,18519.1,18638.3,18519.1,18613.5,18613.5,44297095.0
2016-08-12,18595.7,18606.1,18535.9,18574.0,18574.0,44015571.0
2016-08-15,18588.6,18668.4,18588.6,18636.1,18636.1,41496220.0
2016-08-16,18614.5,18614.9,18550.7,18552.0,18552.0,47136582.0
2016-08-17,18537.1,18582.3,18468.7,18571.1,18571.1,54404135.0
2016-08-18,18566.5,18600.8,18533.3,18597.7,18597.7,49317859.0
2016-08-19,18585.2,18585.2,18491.2,18552.6,18552.6,66671828.0
2016-08-22,18535.9,18570.9,18466.9,18529.4,18529.4,47984471.0
2016-08-23,18568.9,18631.6,18545.5,18547.3,18547.3,48290808.0
2016-08-24,18537.5,18539.2,18448.3,18481.5,18481.5,51424731.0
2016-08-25,18471.2,18497.7,18431.5,18448.4,18448.4,46638437.0
2016-08-26,18467.9,18572.1,18335.3,18395.4,18395.4,57764125.0
2016-08-29,18421.3,18523.1,18419.9,18503.0,18503.0,42371785.0
2016-08-30,18491.3,18514.3,18408.5,18454.3,18454.3,44182881.0
2016-08-31,18436.7,18439.7,18333.6,18400.9,18400.9,48446329.0
